BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2005,147,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2006,120,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2007,116,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2008,111,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2009,114,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2010,100,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2011,141,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2012,155,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2013,111,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2014,108,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1990,4,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1991,1,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1992,3,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1993,3,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1994,2,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1995,2,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1996,1,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1997,0,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1998,3,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1999,1,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2000,5,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2001,1,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2002,6,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2003,3,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2004,6,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2005,4,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2006,0,Anz.,Anzahl
