BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2002;26806;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2003;27217;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2004;27640;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2005;27756;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2006;27952;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2007;28414;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2008;28800;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2009;29210;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2010;29477;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2011;29825;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2012;30000;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2013;30273;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2014;30626;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1962;63097;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1963;65963;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1964;68296;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1965;70289;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1966;73570;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1967;76701;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1968;79235;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1969;82064;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1970;84046;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1971;85434;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1972;87918;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1973;89050;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1974;88556;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1975;88195;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1976;88017;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1977;87979;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1978;88278;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1979;89065;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1980;90304;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1981;91463;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1982;92034;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1983;92341;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1984;93267;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1985;94796;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1986;95903;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1987;97115;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1988;97748;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1989;98554;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1990;99694;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1991;101105;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1992;100736;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1993;101068;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1994;101836;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1995;102649;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1996;103531;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1997;104292;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1998;105301;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1999;106477;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2000;108429;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2001;110500;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2002;113148;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2003;115019;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2004;116345;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2005;117845;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2006;119871;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2007;122722;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2008;126651;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2009;129177;Pers.;Personen;
0;Bezirk Bülach;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2010;131692;Pers.;Personen;
