year,month,201012,200512,200005,199305,198212,197709,196609,193908
1989,9,58.9,65.2,70.3,73.7,121.6,146.5,300.4,619
1989,10,58.9,65.2,70.3,73.7,121.6,146.5,300.4,619
1989,11,61.9,68.5,73.9,77.5,127.8,154,315.8,650.7
1989,12,61.9,68.5,73.9,77.5,127.8,154,315.8,650.7
1990,1,61.9,68.5,73.9,77.5,127.8,154,315.8,650.7
1990,2,61.9,68.5,73.9,77.5,127.8,154,315.8,650.7
1990,3,61.9,68.5,73.9,77.5,127.8,154,315.8,650.7
1990,4,61.9,68.5,73.9,77.5,127.8,154,315.8,650.7
1990,5,64.4,71.3,76.9,80.6,133,160.3,328.6,677.1
1990,6,64.4,71.3,76.9,80.6,133,160.3,328.6,677.1
1990,7,64.4,71.3,76.9,80.6,133,160.3,328.6,677.1
1990,8,64.4,71.3,76.9,80.6,133,160.3,328.6,677.1
1990,9,64.4,71.3,76.9,80.6,133,160.3,328.6,677.1
1990,10,64.4,71.3,76.9,80.6,133,160.3,328.6,677.1
1990,11,67.9,75.1,81,84.9,140,168.8,346,713
1990,12,67.9,75.1,81,84.9,140,168.8,346,713
1991,1,67.9,75.1,81,84.9,140,168.8,346,713
1991,2,67.9,75.1,81,84.9,140,168.8,346,713
1991,3,67.9,75.1,81,84.9,140,168.8,346,713
1991,4,67.9,75.1,81,84.9,140,168.8,346,713
1991,5,71.3,78.9,85.1,89.2,147.1,177.3,363.6,749.2
1991,6,71.3,78.9,85.1,89.2,147.1,177.3,363.6,749.2
1991,7,71.3,78.9,85.1,89.2,147.1,177.3,363.6,749.2
1991,8,71.3,78.9,85.1,89.2,147.1,177.3,363.6,749.2
1991,9,71.3,78.9,85.1,89.2,147.1,177.3,363.6,749.2
1991,10,71.3,78.9,85.1,89.2,147.1,177.3,363.6,749.2
1991,11,73.6,81.4,87.8,92.1,151.9,183,375.3,773.3
1991,12,73.6,81.4,87.8,92.1,151.9,183,375.3,773.3
1992,1,73.6,81.4,87.8,92.1,151.9,183,375.3,773.3
1992,2,73.6,81.4,87.8,92.1,151.9,183,375.3,773.3
1992,3,73.6,81.4,87.8,92.1,151.9,183,375.3,773.3
1992,4,73.6,81.4,87.8,92.1,151.9,183,375.3,773.3
1992,5,75.8,83.9,90.4,94.9,156.4,188.5,386.5,796.5
1992,6,75.8,83.9,90.4,94.9,156.4,188.5,386.5,796.5
1992,7,75.8,83.9,90.4,94.9,156.4,188.5,386.5,796.5
1992,8,75.8,83.9,90.4,94.9,156.4,188.5,386.5,796.5
1992,9,75.8,83.9,90.4,94.9,156.4,188.5,386.5,796.5
1992,10,75.8,83.9,90.4,94.9,156.4,188.5,386.5,796.5
1992,11,77.9,86.2,93,97.5,160.7,193.7,397.2,818.5
1992,12,77.9,86.2,93,97.5,160.7,193.7,397.2,818.5
1993,1,77.9,86.2,93,97.5,160.7,193.7,397.2,818.5
1993,2,77.9,86.2,93,97.5,160.7,193.7,397.2,818.5
1993,3,77.9,86.2,93,97.5,160.7,193.7,397.2,818.5
1993,4,77.9,86.2,93,97.5,160.7,193.7,397.2,818.5
1993,5,79.9,88.4,95.3,100,164.9,198.7,407.4,839.6
1993,6,79.9,88.4,95.3,100,164.9,198.7,407.4,839.6
1993,7,79.9,88.4,95.3,100,164.9,198.7,407.4,839.6
1993,8,80.3,88.8,95.8,100.4,165.6,199.6,409.2,843.3
1993,9,80.3,88.8,95.8,100.4,165.6,199.6,409.2,843.3
