Zinssätze für Kundengeschäfte der Banken / Taux d'intérêt des opérations avec la clientèle des banques / Interest rates on bank customer loans and deposits,,,
"4.1 Zinssätze für Hypothekarkredite
4.1 Taux d'intérêt des prêts hypothécaires
4.1 Interest rates on mortgage loans",,,
In Prozent / En pour-cent / In percent,,,
"Monatsanfang
Début de mois
Beginning of month","Variable 1. Hypotheken 
Prêts hypothécaires en 1er rang et à taux variable
Variable first mortgages",,
,"Kantonalbanken¹
Banques cantonales¹
Cantonal banks¹",,
,"Alte²
Anciennes hypothèques²
Existing²","Neue
Nouvelles hypothèques
New",
,,"Wohnbau²
Construction de logements²
Residential construction²","Landwirtschaft
Agriculture
"
,4,5A,5B
1964 04,3.76,4,3.97
1964 05,3.82,4,3.97
1964 06,3.82,4.01,3.97
1964 07,3.93,4.07,4.02
1964 08,3.93,4.09,4.02
1964 09,3.93,4.09,4.04
1964 10,3.93,4.14,4.07
1964 11,3.95,4.18,4.1
1964 12,3.95,4.22,4.15
1965 01,4.04,4.25,4.19
1965 02,4.04,4.25,4.19
1965 03,4.06,4.25,4.19
1965 04,4.06,4.25,4.19
1965 05,4.06,4.29,4.2
1965 06,4.06,4.29,4.2
1965 07,4.08,4.3,4.22
1965 08,4.09,4.34,4.26
1965 09,4.09,4.34,4.26
1965 10,4.1,4.4,4.31
1965 11,4.13,4.4,4.31
1965 12,4.13,4.42,4.33
1966 01,4.2,4.44,4.35
1966 02,4.2,4.44,4.38
1966 03,4.2,4.44,4.38
1966 04,4.24,4.44,4.38
1966 05,4.24,4.44,4.38
1966 06,4.24,4.44,4.38
1966 07,4.24,4.44,4.38
1966 08,4.24,4.46,4.4
1966 09,4.24,4.49,4.44
1966 10,4.26,4.57,4.51
1966 11,4.26,4.59,4.54
1966 12,4.28,4.59,4.54
1967 01,4.41,4.7,4.65
1967 02,4.41,4.7,4.65
1967 03,4.41,4.7,4.65
1967 04,4.46,4.7,4.65
1967 05,4.48,4.73,4.67
1967 06,4.49,4.73,4.67
1967 07,4.49,4.73,4.67
1967 08,4.49,4.74,4.67
1967 09,4.49,4.74,4.67
1967 10,4.49,4.78,4.71
1967 11,4.51,4.78,4.71
1967 12,4.51,4.78,4.71
1968 01,4.54,4.84,4.77
1968 02,4.55,4.86,4.79
1968 03,4.55,4.86,4.79
1968 04,4.55,4.86,4.79
1968 05,4.58,4.88,4.82
1968 06,4.58,4.88,4.82
1968 07,4.6,4.88,4.82
1968 08,4.6,4.88,4.82
1968 09,4.6,4.88,4.82
1968 10,4.6,4.88,4.82
1968 11,4.6,4.88,4.82
1968 12,4.6,4.9,4.84
1969 01,4.71,4.96,4.88
1969 02,4.76,4.96,4.88
1969 03,4.76,4.96,4.88
1969 04,4.76,4.96,4.88
1969 05,4.76,4.96,4.91
1969 06,4.76,4.96,4.91
1969 07,4.76,4.96,4.91
1969 08,4.76,4.96,4.91
1969 09,4.76,4.96,4.91
1969 10,4.76,5,4.95
1969 11,4.76,5.02,4.97
1969 12,4.76,5.02,4.97
1970 01,4.78,5.08,5.04
1970 02,4.8,5.08,5.04
1970 03,4.8,5.08,5.04
1970 04,4.88,5.18,5.13
1970 05,4.91,5.21,5.15
1970 06,4.94,5.24,5.19
1970 07,4.98,5.26,5.21
1970 08,5,5.27,5.22
1970 09,5,5.33,5.28
1970 10,5.03,5.43,5.39
1970 11,5.05,5.43,5.39
1970 12,5.05,5.43,5.39
1971 01,5.16,5.51,5.47
1971 02,5.16,5.51,5.47
1971 03,5.18,5.53,4.49
1971 04,5.21,5.55,5.51
1971 05,5.23,5.56,5.52
1971 06,5.25,5.56,5.52
1971 07,5.29,5.56,5.52
1971 08,5.29,5.56,5.52
1971 09,5.29,5.56,5.52
1971 10,5.29,5.56,5.52
1971 11,5.31,5.56,5.52
1971 12,5.31,5.54,5.5
1972 01,5.31,5.51,5.47
1972 02,5.31,5.51,5.47
1972 03,5.31,5.51,5.47
1972 04,5.35,5.48,5.44
1972 05,5.35,5.48,5.44
1972 06,5.35,5.48,5.44
1972 07,5.35,5.48,5.44
1972 08,5.35,5.48,5.44
1972 09,5.35,5.48,5.44
1972 10,5.35,5.48,5.44
1972 11,5.35,5.48,5.44
1972 12,5.35,5.5,5.46
1973 01,5.35,5.5,5.46
1973 02,5.35,5.5,5.46
1973 03,5.35,5.5,5.46
1973 04,5.35,5.5,5.46
1973 05,5.35,5.5,5.46
1973 06,5.38,5.5,5.46
1973 07,5.38,5.5,5.46
1973 08,5.38,5.5,5.46
1973 09,5.38,5.5,5.46
1973 10,5.38,5.53,5.49
1973 11,5.38,5.53,5.49
1973 12,5.38,5.55,5.51
1974 01,5.38,5.61,5.57
1974 02,5.38,5.63,5.57
1974 03,5.38,5.69,5.64
1974 04,5.41,5.8,5.76
1974 05,5.5,5.82,5.78
1974 06,5.52,5.95,5.91
1974 07,5.52,6.13,6.08
1974 08,5.52,6.13,6.08
1974 09,5.53,6.19,6.15
1974 10,5.94,6.47,6.44
1974 11,5.96,6.49,6.46
1974 12,5.96,6.49,6.46
1975 01,5.99,6.76,6.73
1975 02,5.99,6.8,6.77
1975 03,5.99,6.82,6.79
1975 04,5.99,6.84,6.81
1975 05,5.99,6.84,6.81
1975 06,5.99,6.84,6.81
1975 07,6,6.84,6.81
1975 08,6,6.86,6.82
1975 09,6,6.86,6.82
1975 10,6,6.6,6.58
1975 11,6,6.6,6.58
1975 12,6,6.6,6.58
1976 01,6,6.33,6.32
1976 02,6,6.31,6.3
1976 03,6,6.29,6.28
1976 04,5.96,6.08,6.05
1976 05,5.96,6.02,5.99
1976 06,5.94,5.96,5.95
1976 07,5.8,5.82,-
1976 08,5.79,5.81,-
1976 09,5.79,5.81,-
1976 10,5.79,5.77,-
1976 11,5.77,5.69,-
1976 12,5.77,5.67,-
1977 01,5.54,5.54,-
1977 02,5.54,5.54,-
1977 03,5.54,5.25,-
1977 04,5.44,5.17,-
1977 05,5.44,5.17,-
1977 06,5.44,5.17,-
1977 07,5.06,5.06,-
1977 08,5.06,5.06,-
1977 09,5.06,5.06,-
1977 10,5.04,5.04,-
1977 11,5.04,5.04,-
1977 12,5.04,5.04,-
1978 01,5.02,5,-
1978 02,4.99,4.91,-
1978 03,4.99,4.7,-
1978 04,4.98,4.6,-
1978 05,4.98,4.6,-
1978 06,4.98,4.6,-
1978 07,4.54,4.54,-
1978 08,4.54,4.52,-
1978 09,4.54,4.52,-
1978 10,4.5,4.38,-
1978 11,4.5,4.31,-
1978 12,4.5,4.31,-
