"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geburtsort und Staatsangehörigkeit"

"Jahr;""Kanton (-) / Bezirk (>>) / Gemeinde (......)"";""Bevölkerungstyp"";Ständige und nichtständige Wohnbevölkerung"
"2010;"">> Distretto di Blenio"";""Ständige Wohnbevölkerung"";5530"
"2010;"">> Distretto di Blenio"";""Nichtständige Wohnbevölkerung"";23"
"2010;"">> Distretto di Leventina"";""Ständige Wohnbevölkerung"";9600"
"2010;"">> Distretto di Leventina"";""Nichtständige Wohnbevölkerung"";99"
"2010;"">> Distretto di Locarno"";""Ständige Wohnbevölkerung"";61707"
"2010;"">> Distretto di Locarno"";""Nichtständige Wohnbevölkerung"";215"
"2010;"">> Distretto di Lugano"";""Ständige Wohnbevölkerung"";141661"
"2010;"">> Distretto di Lugano"";""Nichtständige Wohnbevölkerung"";1267"
"2010;"">> Distretto di Mendrisio"";""Ständige Wohnbevölkerung"";48729"
"2010;"">> Distretto di Mendrisio"";""Nichtständige Wohnbevölkerung"";388"
"2010;"">> Distretto di Riviera"";""Ständige Wohnbevölkerung"";12533"
"2010;"">> Distretto di Riviera"";""Nichtständige Wohnbevölkerung"";34"
"2010;"">> Distretto di Vallemaggia"";""Ständige Wohnbevölkerung"";5762"
"2010;"">> Distretto di Vallemaggia"";""Nichtständige Wohnbevölkerung"";11"
"2010;"">> District d'Aigle"";""Ständige Wohnbevölkerung"";40143"
"2010;"">> District d'Aigle"";""Nichtständige Wohnbevölkerung"";759"
"2010;"">> District de la Broye-Vully"";""Ständige Wohnbevölkerung"";36246"
"2010;"">> District de la Broye-Vully"";""Nichtständige Wohnbevölkerung"";291"
"2010;"">> District du Gros-de-Vaud"";""Ständige Wohnbevölkerung"";37917"
"2010;"">> District du Gros-de-Vaud"";""Nichtständige Wohnbevölkerung"";162"
"2010;"">> District du Jura-Nord vaudois"";""Ständige Wohnbevölkerung"";81687"
"2010;"">> District du Jura-Nord vaudois"";""Nichtständige Wohnbevölkerung"";547"
"2010;"">> District de Lausanne"";""Ständige Wohnbevölkerung"";150362"
"2010;"">> District de Lausanne"";""Nichtständige Wohnbevölkerung"";2071"
"2010;"">> District de Lavaux-Oron"";""Ständige Wohnbevölkerung"";55915"
"2010;"">> District de Lavaux-Oron"";""Nichtständige Wohnbevölkerung"";300"
"2010;"">> District de Morges"";""Ständige Wohnbevölkerung"";73747"
"2010;"">> District de Morges"";""Nichtständige Wohnbevölkerung"";423"
"2010;"">> District de Nyon"";""Ständige Wohnbevölkerung"";89601"
"2010;"">> District de Nyon"";""Nichtständige Wohnbevölkerung"";711"
"2010;"">> District de l'Ouest lausannois"";""Ständige Wohnbevölkerung"";68232"
"2010;"">> District de l'Ouest lausannois"";""Nichtständige Wohnbevölkerung"";949"
"2010;"">> District de la Riviera-Pays-d'Enhaut"";""Ständige Wohnbevölkerung"";79431"
"2010;"">> District de la Riviera-Pays-d'Enhaut"";""Nichtständige Wohnbevölkerung"";1273"
"2010;"">> Bezirk Brig"";""Ständige Wohnbevölkerung"";25033"
"2010;"">> Bezirk Brig"";""Nichtständige Wohnbevölkerung"";164"
"2010;"">> District de Conthey"";""Ständige Wohnbevölkerung"";24211"
"2010;"">> District de Conthey"";""Nichtständige Wohnbevölkerung"";542"
"2010;"">> District d'Entremont"";""Ständige Wohnbevölkerung"";14223"
"2010;"">> District d'Entremont"";""Nichtständige Wohnbevölkerung"";1374"
"2010;"">> Bezirk Goms"";""Ständige Wohnbevölkerung"";4745"
"2010;"">> Bezirk Goms"";""Nichtständige Wohnbevölkerung"";156"
"2010;"">> District d'Hérens"";""Ständige Wohnbevölkerung"";10363"
"2010;"">> District d'Hérens"";""Nichtständige Wohnbevölkerung"";157"
"2010;"">> Bezirk Leuk"";""Ständige Wohnbevölkerung"";12294"
"2010;"">> Bezirk Leuk"";""Nichtständige Wohnbevölkerung"";240"
"2010;"">> District de Martigny"";""Ständige Wohnbevölkerung"";41361"
"2010;"">> District de Martigny"";""Nichtständige Wohnbevölkerung"";536"
"2010;"">> District de Monthey"";""Ständige Wohnbevölkerung"";40766"
"2010;"">> District de Monthey"";""Nichtständige Wohnbevölkerung"";457"
"2010;"">> Bezirk Raron"";""Ständige Wohnbevölkerung"";10829"
"2010;"">> Bezirk Raron"";""Nichtständige Wohnbevölkerung"";243"
"2010;"">> District de Saint-Maurice"";""Ständige Wohnbevölkerung"";12360"
"2010;"">> District de Saint-Maurice"";""Nichtständige Wohnbevölkerung"";134"
"2010;"">> District de Sierre"";""Ständige Wohnbevölkerung"";46134"
"2010;"">> District de Sierre"";""Nichtständige Wohnbevölkerung"";1229"
"2010;"">> District de Sion"";""Ständige Wohnbevölkerung"";42431"
"2010;"">> District de Sion"";""Nichtständige Wohnbevölkerung"";376"
"2010;"">> Bezirk Visp"";""Ständige Wohnbevölkerung"";27934"
"2010;"">> Bezirk Visp"";""Nichtständige Wohnbevölkerung"";2088"
"2010;"">> District de Boudry"";""Ständige Wohnbevölkerung"";38866"
"2010;"">> District de Boudry"";""Nichtständige Wohnbevölkerung"";140"
"2010;"">> District de la Chaux-de-Fonds"";""Ständige Wohnbevölkerung"";38688"
"2010;"">> District de la Chaux-de-Fonds"";""Nichtständige Wohnbevölkerung"";170"
"2010;"">> District du Locle"";""Ständige Wohnbevölkerung"";14099"
"2010;"">> District du Locle"";""Nichtständige Wohnbevölkerung"";53"
"2010;"">> District de Neuchâtel"";""Ständige Wohnbevölkerung"";52669"
"2010;"">> District de Neuchâtel"";""Nichtständige Wohnbevölkerung"";368"
"2010;"">> District du Val-de-Ruz"";""Ständige Wohnbevölkerung"";15831"
"2010;"">> District du Val-de-Ruz"";""Nichtständige Wohnbevölkerung"";118"
"2010;"">> District du Val-de-Travers"";""Ständige Wohnbevölkerung"";11932"
"2010;"">> District du Val-de-Travers"";""Nichtständige Wohnbevölkerung"";77"
"2010;"">> Canton de Genève"";""Ständige Wohnbevölkerung"";457715"
"2010;"">> Canton de Genève"";""Nichtständige Wohnbevölkerung"";3566"
"2010;"">> District de Delémont"";""Ständige Wohnbevölkerung"";35921"
"2010;"">> District de Delémont"";""Nichtständige Wohnbevölkerung"";145"
"2010;"">> District des Franches-Montagnes"";""Ständige Wohnbevölkerung"";9966"
"2010;"">> District des Franches-Montagnes"";""Nichtständige Wohnbevölkerung"";57"
"2010;"">> District de Porrentruy"";""Ständige Wohnbevölkerung"";24145"
"2010;"">> District de Porrentruy"";""Nichtständige Wohnbevölkerung"";60"
"2011;""Schweiz"";""Ständige Wohnbevölkerung"";7954662"
"2011;""Schweiz"";""Nichtständige Wohnbevölkerung"";80729"
"2011;"">> Bezirk Affoltern"";""Ständige Wohnbevölkerung"";48958"
"2011;"">> Bezirk Affoltern"";""Nichtständige Wohnbevölkerung"";153"
"2011;"">> Bezirk Andelfingen"";""Ständige Wohnbevölkerung"";29841"
"2011;"">> Bezirk Andelfingen"";""Nichtständige Wohnbevölkerung"";130"
"2011;"">> Bezirk Bülach"";""Ständige Wohnbevölkerung"";134013"
"2011;"">> Bezirk Bülach"";""Nichtständige Wohnbevölkerung"";1314"
"2011;"">> Bezirk Dielsdorf"";""Ständige Wohnbevölkerung"";81432"
"2011;"">> Bezirk Dielsdorf"";""Nichtständige Wohnbevölkerung"";409"
"2011;"">> Bezirk Hinwil"";""Ständige Wohnbevölkerung"";89455"
"2011;"">> Bezirk Hinwil"";""Nichtständige Wohnbevölkerung"";396"
"2011;"">> Bezirk Horgen"";""Ständige Wohnbevölkerung"";117410"
"2011;"">> Bezirk Horgen"";""Nichtständige Wohnbevölkerung"";716"
"2011;"">> Bezirk Meilen"";""Ständige Wohnbevölkerung"";97649"
"2011;"">> Bezirk Meilen"";""Nichtständige Wohnbevölkerung"";474"
"2011;"">> Bezirk Pfäffikon"";""Ständige Wohnbevölkerung"";56448"
"2011;"">> Bezirk Pfäffikon"";""Nichtständige Wohnbevölkerung"";310"
"2011;"">> Bezirk Uster"";""Ständige Wohnbevölkerung"";121782"
"2011;"">> Bezirk Uster"";""Nichtständige Wohnbevölkerung"";995"
"2011;"">> Bezirk Winterthur"";""Ständige Wohnbevölkerung"";156227"
"2011;"">> Bezirk Winterthur"";""Nichtständige Wohnbevölkerung"";935"
"2011;"">> Bezirk Dietikon"";""Ständige Wohnbevölkerung"";82191"
"2011;"">> Bezirk Dietikon"";""Nichtständige Wohnbevölkerung"";569"
"2011;"">> Bezirk Zürich"";""Ständige Wohnbevölkerung"";376990"
"2011;"">> Bezirk Zürich"";""Nichtständige Wohnbevölkerung"";6343"
"2011;"">> Arrondissement administratif Jura bernois"";""Ständige Wohnbevölkerung"";51796"
"2011;"">> Arrondissement administratif Jura bernois"";""Nichtständige Wohnbevölkerung"";361"
"2011;"">> Verwaltungskreis Biel/Bienne"";""Ständige Wohnbevölkerung"";94577"
"2011;"">> Verwaltungskreis Biel/Bienne"";""Nichtständige Wohnbevölkerung"";713"
"2011;"">> Verwaltungskreis Seeland"";""Ständige Wohnbevölkerung"";68962"
"2011;"">> Verwaltungskreis Seeland"";""Nichtständige Wohnbevölkerung"";530"
